sample_id	plant_code	latitude	longitude	site	plant_species	aphid_species	transfected
Y20-0002	bev	47.4047817	8.65626853	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0003	bev	47.40472929	8.65639017	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0004	bev	47.40479567	8.65643351	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0005	bev	47.40477269	8.65637586	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0007	bev	47.40491312	8.65666508	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0008	bev	47.40490536	8.65667394	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0009	bev	47.40495558	8.65673085	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0010	bev	47.40507215	8.65685139	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0011	bev	47.40506687	8.65684851	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0012	bev	47.40508098	8.65687949	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0013	bev	47.40526704	8.65684522	Schlueweg	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0014	urd	47.41108002	8.54873991	Birnbaumstrasse	Urtica_dioica	Aphis_urticata	no
Y20-0015	urd	47.40450798	8.60909298	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0016	urd	47.40462898	8.60924846	Überland	Urtica_dioica	Aphis_urticata	yes
Y20-0017	urd	47.40444137	8.60928557	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0018	urd	47.40427662	8.60943596	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0020	urd	47.40455747	8.60988697	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0021	urd	47.40440629	8.60982571	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0023	urd	47.40447973	8.6102633	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0024	urd	47.40447265	8.61031452	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0028	urd	47.40400939	8.61060979	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0030	urd	47.40439372	8.61084836	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0032	urd	47.40441292	8.61090497	Überland	Urtica_dioica	Aphis_urticata	no
Y20-0035	bev	47.42421219	8.58447262	Obere	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0036	bev	47.4240923	8.58442078	Obere	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0037	bev	47.42404057	8.58432144	Obere	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0038	bev	47.42404634	8.58436859	Obere	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0039	bev	47.42387541	8.58441439	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0040	bev	47.42384913	8.58450231	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0041	bev	47.42381303	8.58448203	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0042	bev	47.42380304	8.58456789	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	yes
Y20-0043	bev	47.42378178	8.58445498	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0044	bev	47.42364877	8.58457821	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0046	bev	47.42359023	8.58452531	Grätzlistrasse	Beta_vulgaris	Aphis_fabae_fabae	no
Y20-0047	urd	47.38232569	8.53802836	Sihlquai	Urtica_dioica	Aphis_urticata	no
Y20-0048	urd	47.38274624	8.53756341	Sihlquai	Urtica_dioica	Aphis_urticata	no
Y20-0049	urd	47.38564778	8.53306801	Kornhausbrücke	Urtica_dioica	Aphis_urticata	no
Y20-0051	urd	47.3879537	8.53150418	Wasserwerkstrasse	Urtica_dioica	Aphis_urticata	no
Y20-0053	urd	47.38989536	8.52743418	Sihlquai	Urtica_dioica	Aphis_urticata	no
Y20-0054	urd	47.39033483	8.52731349	Hönggerstrasse	Urtica_dioica	Aphis_urticata	no
Y20-0055	urd	47.4917	8.44428	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0056	urd	47.48762	8.45384	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0057	urd	47.49201	8.44541	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0058	urd	47.49157	8.45483	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0059	urd	47.48906	8.45578	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0060	urd	47.4885	8.45115	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0061	urd	47.49206	8.44197	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0062	urd	47.49075	8.45625	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0063	urd	47.49169	8.44334	Steinmaur	Urtica_dioica	Aphis_urticata	no
Y20-0066	heh	47.56963	8.41774	Kaiserstuhl	Hedera_helix	Aphis_hederae	no
Y20-0067	heh	47.49191	8.4427	Niedersteinmaur	Hedera_helix	Aphis_hederae	no
Y20-0069	heh	47.4917	8.44778	Niedersteinmaur	Hedera_helix	Aphis_hederae	no
Y20-0071	urd	47.54436	8.40279	Fisibach	Urtica_dioica	Aphis_urticata	no
Y20-0072	urd	47.56965	8.41801	Fisibach	Urtica_dioica	Aphis_urticata	no
Y20-0073	urd	47.56992	8.41823	Fisibach	Urtica_dioica	Aphis_urticata	no
Y20-0074	urd	47.56976	8.41823	Fisibach	Urtica_dioica	Aphis_urticata	no
Y20-0075	urd	47.5389	8.40425	Fisibach	Urtica_dioica	Aphis_urticata	no
Y20-0077	urd	47.423429	8.589478	Opfikon	Urtica_dioica	Aphis_urticata	no
Y20-0078	urd	47.430756	8.578939	Opfikon	Urtica_dioica	Aphis_urticata	no
Y20-0079	urd	47.421811	8.590943	Opfikon	Urtica_dioica	Aphis_urticata	no
Y20-0080	urd	47.429676	8.592429	Opfikon	Urtica_dioica	Aphis_urticata	no
Y20-0081	heh	47.40344845	8.6142148	Kriesbachstrasse	Hedera_helix	Aphis_hederae	no
Y20-0082	heh	47.40347905	8.61397388	Kriesbachstrasse	Hedera_helix	Aphis_hederae	no
Y20-0083	heh	47.40297455	8.61395769	Kriesbachstrasse	Hedera_helix	Aphis_hederae	no
Y20-0084	urd	47.40610494	8.61913138	Zwinggarten	Urtica_dioica	Aphis_urticata	no
Y20-0085	urd	47.40629508	8.61879967	Zwinggarten	Urtica_dioica	Aphis_urticata	no
Y20-0086	urd	47.40602012	8.6188919	Zwinggarten	Urtica_dioica	Aphis_urticata	no
Y20-0087	urd	47.40593974	8.61889138	Zwinggarten	Urtica_dioica	Aphis_urticata	no
Y20-0088	urd	47.40610218	8.61845493	Zwinggarten	Urtica_dioica	Aphis_urticata	no
Y20-0089	urd	47.40585931	8.61854234	Zwinggarten	Urtica_dioica	Aphis_urticata	no
