Replicate	Aphid_line	Parasitoid_line	Block	Latitude_wasp	Longitude_wasp	Wasp_host_species	Hamiltonella_host_species	Wasp_genotype	Nymphs_corrected	Dead_wasp	Mummies_amount	Hatching_wasps
1	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	no	7	7
2	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	no	4	4
3	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	no	1	0
4	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	no	4	4
5	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	yes	5	5
6	NTR-407	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	none	6	10	yes	0	0
2	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	8	no	0	0
3	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	9	no	3	2
4	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	11	no	3	2
5	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	4	3
6	TR-0016	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	yes	0	0
2	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	4	3
3	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	0	0
4	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	8	no	2	2
5	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	8	no	1	0
6	TR-0042	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	11	no	0	0
2	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	0	0
3	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	0	0
4	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	0	0
5	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	no	0	0
6	TR-0076	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_fabae_fabae	6	10	yes	0	0
2	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	3	2
3	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	8	6
4	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	8	6
5	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	11	no	2	2
6	TR-0103	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	8	no	1	1
2	TR-0131	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	11	no	6	4
3	TR-0131	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	2	1
4	TR-0131	F316	6	47,38142956	8,62739129	Aphis_fabae_fabae	Aphis_urticata	6	10	no	0	0
